Charlie St. Cloud,6.4,6
Dirty Grandpa,5.9,7
The End of the F***ing World,8.1,7
The Human Centipede II (Full Sequence),3.8,5
Joy,6.6,7
Watchmen,7.7,9
Geostorm,5.3,6
The Sixth Sense,8.2,9
Unbreakable,7.3,10
Sacred Games,8.6,7
Concussion,7.1,7
Blockers,6.2,7
Agora,7.2,9
Piranha 3DD,3.8,6
Legenda o Kolovrate,6.2,5
Diary of the Dead,5.6,4
[Rec]²,6.5,8
[Rec],7.4,7
Framed by My Fiancé,5.1,5
The Colony,5.3,7
Alien: Resurrection,6.2,7
Beirut,6.4,7
Smokin' Aces,6.6,9
Ocean's Thirteen,6.9,8
Ocean's Twelve,6.5,7
The Uninvited,6.3,6
My Life as a Dead Girl,5.9,6
21 Grams,7.7,9
The Dead Girl,6.6,7
Space Warriors,4.5,3
Donnie Brasco,7.7,9
The Time Machine,6,8
A Quiet Place,7.5,6
Orphan,7,6
Incredibles 2,7.6,8
The Amazing Spider-Man 2,6.6,7
Hostel: Part III,4.6,5
Hostel: Part II,5.5,7
Hostel,5.9,6
Ocean's Eight,6.3,7
Devil's Knot,6.1,8
Ready Player One,7.4,7
Spider-Man 3,6.3,8
Steve Jobs,7.2,8
Westworld,8.6,9
The Bronze,6.1,7
Tomb Raider,6.3,5
The Specialist,5.6,5
Bitch Slap,4.5,6
True Grit,7.6,8
The Big Short,7.8,10
3:10 to Yuma,7.7,9
The Terror,7.9,9
The Road,7.2,8
The Girl on the Train,6.5,8
Stardust,7.6,8
Man on a Ledge,6.6,7
The Walk,7.3,7
Hercules,6,7
Captain Fantastic,7.8,8
Interview with the Vampire: The Vampire Chronicles,7.5,8
Red Sparrow,6.6,6
Black Panther,7.3,3
Rampage,6.1,6
Game Night,6.9,9
Speed Racer,6.1,6
Pete's Dragon,6.7,8
Gifted,7.6,9
12 Strong,6.5,7
Winchester,5.4,6
The Hangover Part III,5.8,6
Tremors II: Aftershocks,5.9,6
Tremors,7.2,7
Avengers: Infinity War,8.5,9
The Dictator,6.4,8
Cloudy with a Chance of Meatballs,7,8
Astro Boy,6.3,7
The Ant Bully,5.8,6
Aliens in the Attic,5.4,6
Hostiles,7.2,9
Tomorrowland,6.4,7
Silicon Valley,8.5,9
Den of Thieves,7,6
Maze Runner: The Death Cure,6.2,6
Pan's Labyrinth,8.2,9
Ég man þig,6.1,7
The Cave,5.1,6
Star Wars: Episode VIII - The Last Jedi,6.9,6
Into the Storm,5.8,7
El cuerpo,7.6,8
Molly's Game,7.4,8
Coco,8.4,8
Visions,5.3,7
Insidious: The Last Key,5.7,7
The World Is Not Enough,6.4,7
